,misinfo,topic,polling_firm,sponsor,academic_comm,date,question,link,correct,leaning correct,incorrect,leaning incorrect,dk,not sure,refused_na,no opinion,undecided,misinformation,n_options,explicit_dk,explicit_ns,matter_of_opinion,n,mode,l_congenial_options,r_congenial_options,correct_valence ,prompt_type ,ire,footnotes
180,Y,GW Scientist Agreement,ABC News/Washington Post,ABC News/Washington Post,0,11/16-19/15,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  most AND  scientists AND  agree AND  with AND  one AND  another AND  {about} AND  whether not global AND  warming AND  is AND  happening&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=November 16-19, 2015&sample=1004&qstn_list=&qstnid=1876962&qa_list=&qstn_id4=1876962&study_list=&lastSearchId=317673102897&archno=USABCWASH2015-1173&keywordDisplay=",43,0,51,0,0,0,0,6,0,,2,N,N,Y,"1,004",telephone,,,,DYT,N,
191,Y,GW Scientist Agreement,ABC News/Washington Post,ABC News/Washington Post,0,11/16-19/15,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue? (Options rotated)",http://www.pollingreport.com/enviro.htm,43,0,51,0,0,6,0,0,0,,2,N,N,Y,"1,004",online,,,,DYT,N,
241,Y,Obama Illegal Wiretapping,ABC News/Washington Post,ABC News/Washington Post,0,04/17-20/17,"Do you think the Obama administration intentionally spied on (Donald) Trump and members of his campaign during the 2016 election campaign, or not?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  trump&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=01-JAN-34&sample=1004&qstn_list=&qstnid=1895177&qa_list=&qstn_id4=1895177&study_list=&lastSearchId=317673255341&archno=&keywordDisplay=,58,0,32,0,0,0,0,10,0,,2,N,N,Y,"1,004",telephone,,,,DYT,N,
210,Y,Obama Citizenship,ABC News/Washington Post,ABC News/Washington Post,0,04/22-25/10,"Is it your best guess that (Barack) Obama was born in the United States, or in another country?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  was AND  born AND  in AND  the AND  united AND  states&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=April 22-25, 2010&sample=1001&qstn_list=&qstnid=1777740&qa_list=&qstn_id4=1777740&study_list=&lastSearchId=317673196418&archno=USABCWASH2010-1109&keywordDisplay=",52,0,34,0,15,0,0,0,0,,2,N,N,Y,"1,001",telephone,,,,YBG,N,Subpopulation/Note: Asked of those who do not know where Obama was born (19%). ; Don't know/No opinion (15%)
204,Y,Vaccines Medical Scientists,"Abt SRBI, Inc.",Pew Research Center for the People and the Press,0,05/10/16-06/10/16,"As far as you know, how many medical scientists say that childhood vaccines for measles, mumps and rubella are safe for healthy children?...Almost all, more than half, about half, fewer than half, almost none",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  these AND  vaccines AND  are AND  safe AND  for AND  healthy AND  children or are AND  they not safe AND  for AND  healthy AND  children&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Pew Research Center for the People & the Press&studydate=01-JAN-34&sample=4563&qstn_list=&qstnid=1890797&qa_list=&qstn_id4=1890797&study_list=&lastSearchId=317673196268&archno=&keywordDisplay=,55,0,43,0,0,0,2,0,0,,5,N,N,Y,"4,563",online,,,,AFYK,N,No answer (2%); online(4091)/telephone or mail(472)
21,Y,Obama Religion,"Abt SRBI, Inc.",Pew Research Center for the People and the Press/Pew Forum on Religion and Public Life,0,04/14/11-07/22/11,"Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hundu, atheist, agnostic, or something else?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Pew Research Center for the People & the Press, Pew Forum on Religion & Public Life&studydate=01-JAN-34&sample=1033&qstn_list=&qstnid=1791000&qa_list=&qstn_id4=1791000&study_list=&lastSearchId=317673058541&archno=&keywordDisplay=",55,0,11,0,33,0,1,0,0,,7,N,N,Y,"1,033",telephone,,,L,DYHTK,N,
23,Y,Obama Religion,"Abt SRBI, Inc.",Time,0,08/16-17/10,Do you personally believe that Barack Obama is a Muslim or a Christian?,"https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  personally AND  believe AND  that AND  barack AND  obama AND  is a christian&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Time&studydate=August 16-17, 2010&sample=1002&qstn_list=&qstnid=1768979&qa_list=&qstn_id4=1768979&study_list=&lastSearchId=317673058895&archno=USSRBI2010-5122&keywordDisplay=",47,0,29,0,24,0,0,0,0,,2,N,N,Y,"1,002",telephone,,,L,DYPB,N,No answer/Don't know (24%)
144,Y,Vaccines,"Abt SRBI, Inc.",Pew Research Center for the People and the Press,0,05/10/16-06/10/16,"Thinking about childhood vaccines for measles, mumps, and rubella (MMR), how would you rate・the preventive health benefits?...Very high, high, medium, low, very low",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=vaccines&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Pew Research Center for the People & the Press&studydate=01-JAN-34&sample=4563&qstn_list=&qstnid=1890778&qa_list=&qstn_id4=1890778&study_list=&lastSearchId=317673097361&archno=&keywordDisplay=,45,0,53,0,0,0,2,0,0,,5,N,N,N,"4,563",mixed,,,,N/A,N,No answer (2%); online(4091)/telephone or mail(472)
145,Y,Vaccines,"Abt SRBI, Inc.",Pew Research Center for the People and the Press,0,05/10/16-06/10/16,"Thinking about childhood vaccines for measles, mumps, and rubella (MMR), how would you rate・the risk of side effects?...Very high, high, medium, low, very low",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=vaccines&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Pew Research Center for the People & the Press&studydate=01-JAN-34&sample=4563&qstn_list=&qstnid=1890777&qa_list=&qstn_id4=1890777&study_list=&lastSearchId=317673097420&archno=&keywordDisplay=,38,0,61,0,0,0,1,0,0,,5,N,N,N,"4,563",mixed,,,,N/A,N,No answer (1%); online(4091)/telephone or mail(472)
6,Y,Obama Citizenship,Anderson Robbins Research/Shaw & Co. Research,Fox News,0,04/03-05/11,"Do you think Barack Obama was born in the United States, or not?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  born AND  in AND  the AND  united states&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Fox News&studydate=April 3-5, 2011&sample=914&qstn_list=&qstnid=1783860&qa_list=&qstn_id4=1783860&study_list=&lastSearchId=317673058380&archno=USFOX2011-0405&keywordDisplay=",67,0,24,0,10,0,0,0,0,,2,N,N,Y,914,telephone,,,L,DYT,N,landline(712)/cellular(202)
228,Y,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,Fox News,0,07/16-18/17,"Do you think Russia interfered in the 2016 presidential election, or not?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=russia AND  2016 AND  election&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Fox News&studydate=01-JAN-34&sample=1020&qstn_list=&qstnid=1899196&qa_list=&qstn_id4=1899196&study_list=&lastSearchId=317673236220&archno=&keywordDisplay=,55,0,34,0,11,0,0,0,0,,2,N,N,Y,"1,020",telephone,,,,DYT,N,landline(432)/cellular(588)
229,Y,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,Fox News,0,07/16-18/17,Who do you think Russia wanted to win the (2016) presidential election--Hillary Clinton or Donald Trump?,https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=russia AND  2016 AND  election&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Fox News&studydate=01-JAN-34&sample=1020&qstn_list=&qstnid=1899199&qa_list=&qstn_id4=1899199&study_list=&lastSearchId=317673236220&archno=&keywordDisplay=,65,0,24,0,11,0,0,0,0,,2,N,N,Y,"1,020",telephone,,,,DYT,N,landline(432)/cellular(588)
230,Y,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,Fox News,0,06/25-27/17,"Do you think Russia's attempts to influence the (2016) presidential election using cyberattacks helped Donald Trump or helped Hillary Clinton, or do you think they had no real effect? Do you think Russia helped Clinton/Trump a lot or just a little?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=russia AND  2016 AND  election&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Fox News&studydate=01-JAN-34&sample=1017&qstn_list=&qstnid=1898141&qa_list=&qstn_id4=1898141&study_list=&lastSearchId=317673236384&archno=&keywordDisplay=,29,0,66,0,5,0,0,0,0,,5,N,N,Y,"1,017",telephone,,,,DYT,N,landline(426)/cellular(591)
233,Y,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,Fox News,0,05/21-23/17,"Do you think Russia's attempts to influence the (2016) presidential election using cyber-attacks helped Donald Trump or helped Hillary Clinton, or do you think they had no real effect? Do you think Russia helped Clinton/Trump a lot or just a little?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=russia AND  2016 AND  election&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Fox News&studydate=01-JAN-34&sample=1011&qstn_list=&qstnid=1896553&qa_list=&qstn_id4=1896553&study_list=&lastSearchId=317673236546&archno=&keywordDisplay=,30,0,65,0,6,0,0,0,0,,5,N,N,Y,"1,011",telephone,,,,DYT,N,landline(419)/cellular(592)
238,Y,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,Fox News,0,12/11-13/16,"Do you think Russia's attempts to influence the (2016) presidential election using cyber-attacks helped Donald Trump or helped Hillary Clinton, or do you think they had no real effect? Do you think Russia helped Clinton/Trump a lot or just a little?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=russia AND  2016 AND  election&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Fox News&studydate=01-JAN-34&sample=1034&qstn_list=&qstnid=1891896&qa_list=&qstn_id4=1891896&study_list=&lastSearchId=317673236574&archno=&keywordDisplay=,21,0,71,0,7,0,0,0,0,,5,N,N,Y,"1,034",telephone,,,,DYT,N,
137,Y,Vaccines,Anderson Robbins Research/Shaw & Co. Research,Fox News,0,02/08-10/15,"In general, how safe do you think vaccines are?...Extremely, very, somewhat, not at all",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=vaccines AND  safe&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Fox News&studydate=01-JAN-34&sample=1044&qstn_list=&qstnid=1859674&qa_list=&qstn_id4=1859674&study_list=&lastSearchId=317673081247&archno=&keywordDisplay=,29,0,67,0,3,0,0,0,0,,4,N,N,Y,"1,044",telephone,,,,DYT,N,landline(641)/cellular(403)
100,Y,GW Happening,AP/GfK Roper Public Affairs & Corporate Communications,AP,0,11/29/12-12/03/12,"What is your personal opinion? Do you think that the world's temperature probably has been going up over the past 100 years, or do you think this probably has not been happening?",pdf,78,0,18,0,5,0,0,0,0,,2,N,N,Y,"1,002",telephone,,,L,DYT,N,landline(600)/cellular(402)
231,Y,Russia Meddling,CBS News,CBS News,0,06/15-18/17,"Do you believe Russia tried to interfere in the 2016 US election, or not? Do you think Russia interfered in order to help elect Donald Trump, or do you think they interfered, but not to help elect Donald Trump?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=russia AND  2016 AND  election&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=01-JAN-34&sample=1117&qstn_list=&qstnid=1897570&qa_list=&qstn_id4=1897570&study_list=&lastSearchId=317673236439&archno=&keywordDisplay=,44,0,49,0,8,0,0,0,0,,3,N,N,Y,"1,117",telephone,,,,DYB,N,Don't know/No answer (8%)
234,Y,Russia Meddling,CBS News,CBS News,0,03/25-28/17,"Do you believe Russia tried to interfere in the 2016 US election, or not? Do you think Russia interfered in order to help elect Donald Trump, or do you think they interfered, but not to help elect Donald Trump?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=russia AND  2016 AND  election&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=01-JAN-34&sample=1088&qstn_list=&qstnid=1893848&qa_list=&qstn_id4=1893848&study_list=&lastSearchId=317673236574&archno=&keywordDisplay=,40,0,47,0,13,0,0,0,0,,3,N,N,Y,"1,088",telephone,,,,DYB,N,Don't know/No answer (13%)
237,Y,Russia Meddling,CBS News,CBS News,0,01/13-17/17,"Do you believe Russia tried to interfere in the 2016 US election, or not? Do you think Russia interfered in order to help elect Donald Trump, or do you think they interfered, but not to help elect Donald Trump?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=russia AND  2016 AND  election&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=01-JAN-34&sample=1257&qstn_list=&qstnid=1890352&qa_list=&qstn_id4=1890352&study_list=&lastSearchId=317673236574&archno=&keywordDisplay=,44,0,47,0,10,0,0,0,0,,3,N,N,Y,"1,257",telephone,,,,DYB,N,Don't know/No answer (10%)
40,Y,Obama Religion,CBS News,CBS News,0,08/08-12/07,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=August 8-12, 2007&sample=1214&qstn_list=&qstnid=1687917&qa_list=&qstn_id4=1687917&study_list=&lastSearchId=317673058825&archno=USCBS2007-08A&keywordDisplay=",6,0,10,0,84,0,0,0,0,,0,N,N,Y,"1,214",telephone,,,L,DYK,N,Don't know/No answer (84%)
134,Y,Crime Illegal Imm.,CBS News,CBS News,0,02/17-21/17,"Compared to American citizens, how likely do you think ILLEGAL immigrants are to commit crimes? Are illegal immigrants more likely, less likely, or about as likely to commit crimes as American citizens?",http://www.pollingreport.com/immigration.htm,17,0,83,0,0,3,0,0,0,,3,N,N,Y,"1,280",online,,,,DYT,N,Unsure/No answer (3%)
172,Y,Crime Illegal Imm.,CBS News,CBS News,0,07/29/15-08/02/15,"Compared to American citizens, how likely do you think illegal immigrants are to commit crimes--are illegal immigrants more likely, less likely or about as likely to commit crimes as American citizens?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=how AND  likely AND  do AND  you AND  think AND  illegal AND  immigrants AND  are AND  to AND  commit AND  crimes&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=July 29-August 2, 2015&sample=1252&qstn_list=&qstnid=1867419&qa_list=&qstn_id4=1867419&study_list=&lastSearchId=317673102545&archno=USCBS2015-0802&keywordDisplay=",17,0,80,0,3,0,0,0,0,,3,N,N,Y,"1,252",telephone,,,,DYT,N,Don't know/No answer (3%)
8,Y,Obama Citizenship,CBS News,Vanity Fair,0,06/01-03/10,"Do you think Barack Obama was born in the United States, or do you think he was born in another country?...Hawaii, Kansas, someplace else in the US, not sure which state in the US, Kenya, Indonesia, someplace else outside the US, not sure which country","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  born AND  in AND  the AND  united AND  states&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Vanity Fair&studydate=June 1-3, 2010&sample=960&qstn_list=&qstnid=1777657&qa_list=&qstn_id4=1777657&study_list=&lastSearchId=317673058354&archno=USCBS2010-06A&keywordDisplay=",39,0,48,0,13,0,0,0,0,,8,N,N,Y,960,telephone,,,L,DYT,N,"Hawaii (39%), Kansas (1%), someplace else in the US (3%), not sure which state in the US (20%), Kenya (6%), Indonesia (2%), someplace else outside the US (5%), not sure which country (11%), don't know/no answer (13%)"
141,Y,Vaccines,CBS News,CBS News,0,02/13-17/15,"How likely do you think it is that vaccines given to children for diseases like measles, mumps, and rubella can cause neurological disorders like autism: very likely, somewhat likely, not very likely, or not at all likely?",http://www.pollingreport.com/health2.htm,32,0,62,0,0,6,0,0,0,,4,N,N,Y,"1,006",online,,,,DYT,N,Unsure/No answer (6%)
136,Y,Vaccines,CBS News,CBS News,0,02/13-17/15,"In general, how safe are vaccines given to children for diseases like measles, mumps, and rubella: very safe, somewhat safe, not very safe, or not safe at all?*",http://www.pollingreport.com/health2.htm,61,0,34,0,0,4,0,0,0,,4,N,N,N,"1,006",online,,,,N/A,N,Unsure/No answer (4%)
